id,make,model,color,vin,license_plate,body_style,doors,drive_type,fuel_type,engine,transmission,country,first_name,last_name,phone,age,address
"6501ca83-be07-408e-a613-6ac9d97d8ff6","Opel","Qashqai","azure","JGMHVKDYH9GB96163","wxt-4663","Wagon","3","FWD","Compressed Natural Gas","8 Cylinder Engine","Automanual","North Macedonia","Bee","Medhurst","(904) 702-7173","33","Suite 376 7805 Mauro Drive, Jaeport, CO 77129"
"d417dc8b-72ea-4bfb-b811-9c9840cca854","Nissan","Charger","sky blue","SX2NDB6MPNT851728","clt-8645","Sedan","3","RWD","Gasoline Hybrid","4 Cylinder Engine","CVT","Netherlands","Pedro","Gibson","(305) 285-9566","50","695 Kovacek Knoll, Danielhaven, NJ 54830"
"fc64359b-40ac-4e52-8d1f-711b9de35060","Xpeng","Crossland","grey","EYUK1S41M4T601126","oks-8940","Cargo Van","2","4x2/2-wheel drive","E-85/Gasoline","8 Cylinder Engine","CVT","North Macedonia","Jefferey","White","(561) 908-5534","70","Suite 145 8742 Carroll Views, Jarodmouth, WV 34828"
"03a36113-368b-4be5-8116-dd6592a3a1bd","Fiat","Silverado","sky blue","N2H9GMXJKAEW67337","evr-4757","SUV","3","4x4/4-wheel drive","Ethanol","4 Cylinder Engine","CVT","Malawi","Neely","Russel","(505) 648-9345","19","Suite 272 0221 Danica Stravenue, Hayesfort, ID 12887"
"79c05a76-cfda-4201-8aa8-c576511fe45b","Honda","Polo","orchid","D9B8PC1E84XD19499","rtq-7470","Minivan","4","RWD","Diesel","4 Cylinder Engine","Manual","Samoa","Joseph","Schowalter","(472) 233-3923","23","790 Kuphal Crescent, Lemkeview, NE 78254"
"3687a7a9-2db4-4cd6-a5de-021169e3774f","Kia","Model Y","black","K13B9XTWBKA897185","twa-9424","Minivan","3","AWD","Gasoline","8 Cylinder Engine","Manual","Guinea","Adan","Kuhn","(305) 469-7595","27","Suite 135 391 Runolfsson Meadow, Leoneltown, WI 51336"
"4ce01bc7-a801-4c84-9b46-f5ebd9f6360e","Dodge","A4","azure","UBEEVM8M8UZA27427","gnl-6642","Minivan","3","FWD","Ethanol","8 Cylinder Engine","Automanual","Algeria","Jeramy","Jast","(505) 798-5284","67","27000 Considine Mill, Hildredborough, AZ 18794"
"260d9e74-1092-4687-a559-a49cc9b53a6c","Seat","Durango","white","AA2W5MZXZGHT39755","wqz-5932","SUV","3","FWD","Gasoline Hybrid","6 Cylinder Engine","Manual","Zambia","Toby","Wunsch","(505) 646-9409","55","Apt. 326 21957 Natisha Burgs, East Wileyhaven, CA 27864"
"3e26f36b-bd4b-4264-9cb9-0a601c33f7fd","Honda","A4","blue","JFXLS0HAXNDN02466","pzi-4505","Wagon","1","FWD","Diesel","4 Cylinder Engine","Automanual","Namibia","Jacquline","Botsford","(730) 204-1930","19","8914 Adam Flats, North Ronton, WI 61610"
"3d2cdc9a-3a5c-417b-96c9-43abcdd6a66e","Chevy","ET5","fuchsia","3TS67L7N2XCJ81811","oys-6022","SUV","2","4x2/2-wheel drive","Gasoline Hybrid","8 Cylinder Engine","CVT","Jordan","Dominique","Kassulke","(472) 205-0443","34","Apt. 524 0797 Schaefer Street, Conntown, IN 52643"
"dbb86aa0-acd5-4516-a8fd-21771b2b5a29","Mercedes-Benz","Roadster","salmon","89JXZJZYHPB137846","chu-3291","Sedan","3","4x2/2-wheel drive","Ethanol","4 Cylinder Engine","CVT","Hungary","Dorthy","Hirthe","(505) 218-2629","76","Suite 568 3343 Dietrich Row, Shondraborough, CT 59520"
"5c143a23-d438-459a-b75a-c93c1e8d00c5","Citroën","Roadster","plum","CJ7MPUR8SSRB72928","vpc-0348","Coupe","1","4x4/4-wheel drive","Electric","4 Cylinder Engine","Manual","United Arab Emirates","Denice","Rippin","(445) 343-3588","79","66468 Ramon Crescent, Gibsontown, MS 63775"
"ce345a45-59fa-422f-92e8-f93f8233ee3f","Buick","C5","silver","5EUGP7VBRLER99975","yxh-4269","Coupe","1","FWD","E-85/Gasoline","8 Cylinder Engine","CVT","Saint Lucia","Kevin","Bechtelar","(305) 213-2924","66","Apt. 642 73058 Arlyne Lodge, West Nikki, GA 92306"
"5c3329ad-cb58-4497-8555-6c8297afb23e","Opel","Tiguan","blue","HSR5BXGP34Z391533","nqm-1988","SUV","4","4x4/4-wheel drive","E-85/Gasoline","4 Cylinder Engine","Manual","South Sudan","Jeffery","Abbott","(505) 646-1908","24","Suite 906 9031 Quyen Lake, Schuppehaven, OR 34102"
"aec5915a-4814-45cd-a1f6-f891ca28563f","Tesla","Leon","red","G8KL1703GPEV89942","mtl-8331","Cargo Van","2","RWD","Gasoline Hybrid","4 Cylinder Engine","Automanual","Burkina Faso","Alayna","Towne","(363) 576-6388","42","49685 Lindgren Wall, Considinetown, AL 49127"
"d5b8ec36-80df-4a6b-9431-a6c5bc58b657","Volkswagen","Fiesta","sky blue","9APTDSC22ZP555099","rqm-5240","Minivan","1","AWD","Compressed Natural Gas","4 Cylinder Engine","CVT","Dominica","Caryl","Johns","(235) 574-9095","18","5847 Dimple Lake, Feestbury, DE 97088"
"1fe18563-90b2-40dd-9c84-4742afe16ba6","Honda","P7","maroon","1J5DRURDAUSK91995","jas-2582","Regular Cab Pickup","4","4x4/4-wheel drive","Compressed Natural Gas","6 Cylinder Engine","Automatic","Saint Vincent and the Grenadines","Candace","Goodwin","(305) 420-4738","27","26599 Thanh Lake, New Ginetteborough, NC 08026"
"7861b0ca-4584-4e2b-ba66-5463f8fd379c","BMW","EV6","grey","MHS1HRBTF8TU64219","som-7689","Passenger Van","1","RWD","Electric","4 Cylinder Engine","Automanual","Libya","Danyell","Crist","(305) 966-3071","21","108 Emory Centers, Arielville, CT 57810"
"a221215c-7de3-4bae-8a31-f0f432f99b93","Dacia","Encore","fuchsia","60PXS148ECS360120","aeb-5389","Minivan","4","FWD","Diesel","4 Cylinder Engine","Automanual","Cameroon","Jacques","Schinner","(505) 646-5669","68","171 Hilario Shores, West Torrieport, DE 89305"
"02cba113-44db-4551-9060-77a1a79ed7a9","Citroën","ES6","magenta","RLY56YGCYAVV30943","rvn-3624","Wagon","3","RWD","Gasoline Hybrid","4 Cylinder Engine","Manual","Saint Kitts and Nevis","Bernard","Kling","(505) 695-6125","65","946 Considine Views, Lake Valentine, AZ 64019"
"6cb39f0e-1170-411c-b631-b52cacc4ce7c","Lancia","Spring","lavender","XJ0S9AJDPHNK64843","rmo-8497","Crew Cab Pickup","2","4x4/4-wheel drive","Ethanol","8 Cylinder Engine","Automatic","Seychelles","Jim","Wiza","(983) 748-2954","76","792 Rempel Common, Rowechester, NC 71338"
"4ac3bfe8-4c84-49d4-aae2-9f21ff3f7bc9","Xpeng","508","cyan","Z7P1VZNW0SU762267","sxw-9876","Wagon","4","AWD","Ethanol","4 Cylinder Engine","Manual","Kuwait","Rhonda","Hammes","(781) 695-8222","67","20990 Brakus Summit, North Mitziebury, NY 61197"
"91057ddb-0533-40d0-9579-a323efa0be56","Dacia","A4","tan","ZD5PN1W514NL87282","jzj-5278","Hatchback","2","4x2/2-wheel drive","Ethanol","8 Cylinder Engine","CVT","Eritrea","Marcos","Mann","(267) 655-6990","19","8636 Warren Parkway, North Joanna, MD 72944"
"e99984ee-bf77-40a3-ac9c-b19a6be7173d","Renault","MX-5","lavender","EGWN1P9W6THU72495","zgh-6134","Convertible","4","FWD","Ethanol","4 Cylinder Engine","CVT","Barbados","Rolando","Dickinson","(472) 454-5197","19","Apt. 446 02302 Maria Road, Pennibury, ID 65342"
"5c997c0b-7c6a-4b32-b142-8de95b5a2296","Ford","XC40","indigo","195SWUJU74AM79753","qog-4940","Extended Cab Pickup","3","4x4/4-wheel drive","E-85/Gasoline","8 Cylinder Engine","CVT","Korea, Republic of","Lucilla","Stehr","(983) 775-2362","66","238 Rene Field, Marvinfurt, TX 72411"
"ee32cde3-d18a-42e0-9556-208fcd9019c1","Mazda","Malibu","olive","24UKRJR154CR19888","gsu-3309","Wagon","4","4x4/4-wheel drive","Diesel","6 Cylinder Engine","Manual","Cabo Verde","Elenor","Mraz","(505) 532-1211","61","Suite 891 74687 O'Conner Lakes, Schinnerberg, ND 03178"
"4fd2fdb0-3857-4087-83a9-20d2bf35cb81","Lancia","C3","lime","50BU4E59WUSX75778","suz-8893","Wagon","2","4x2/2-wheel drive","E-85/Gasoline","6 Cylinder Engine","Automanual","El Salvador","Tristan","Kerluke","(505) 933-7781","56","Suite 421 4608 Florencio Knoll, Lake Will, OK 55327"
"6890c356-79a5-4ac6-bab9-1015c8c8ac88","Opel","MKZ","fuchsia","1TNUBWJRN5NN66921","uxs-3132","Wagon","4","AWD","Diesel","6 Cylinder Engine","Automanual","Russian Federation","Mandy","Welch","(505) 992-0175","59","Suite 491 6239 Johnson Estate, New Griceldaborough, IA 81895"
